# Scans semana 2026-W14 — inicio 2026-03-30 00:00:00 UTC
[2026-03-29 19:00:00] SCAN SOL/USDT:USDT | HORA:00:00UTC | P:81.3400 | Slope1h:-0.0825% | VolR:1.97x | K:63.9 | D:58.6 | GapEMA7:-0.2478% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.042% | Cruce15m:- | VelasCruce15m:7 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.083% | SLOPE_15M:+0.042% | P<EMA7 | GA | ATR_1H:0.9949% | ATR_15M:0.6705% | Funding:-0.00027 | FundAlto:False | GapVWAP:-0.4177% | K15m:74.6 | D15m:73.4 | Cuerpo1H:0.571 | VelaAlc:True | OBV:-6.5579%
[2026-03-29 19:00:02] SCAN ETH/USDT:USDT | HORA:00:00UTC | P:1982.9900 | Slope1h:-0.1194% | VolR:2.67x | K:64.1 | D:66.8 | GapEMA7:-0.3585% | SobreEMA7:False | Cruce1h:- | Slope15m:-0.008% | Cruce15m:- | VelasCruce15m:7 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | K<D | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.119% | SLOPE_15M:-0.008% | P<EMA7 | GA | ATR_1H:0.8385% | ATR_15M:0.6201% | Funding:-0.00003 | FundAlto:False | GapVWAP:+0.0596% | K15m:66.1 | D15m:65.7 | Cuerpo1H:0.472 | VelaAlc:True | OBV:-43.8732%
[2026-03-29 19:00:09] SCAN SOL/USDT:USDT | HORA:00:00UTC | P:81.3700 | Slope1h:-0.0527% | VolR:0.00x | K:64.7 | D:60.1 | GapEMA7:-0.1583% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.037% | Cruce15m:- | VelasCruce15m:7 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.053% | SLOPE_15M:+0.037% | VOL_R:0.00x | ATR_1H:0.9647% | ATR_15M:0.6702% | Funding:-0.00027 | FundAlto:False | GapVWAP:+0.0082% | K15m:74.2 | D15m:73.3 | Cuerpo1H:0.750 | VelaAlc:True | OBV:-9.0374%
[2026-03-29 19:00:11] SCAN ETH/USDT:USDT | HORA:00:00UTC | P:1983.2700 | Slope1h:-0.1159% | VolR:2.67x | K:64.5 | D:66.9 | GapEMA7:-0.3480% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.000% | Cruce15m:- | VelasCruce15m:7 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | K<D | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.116% | SLOPE_15M:+0.000% | P<EMA7 | GA | ATR_1H:0.8384% | ATR_15M:0.6200% | Funding:-0.00003 | FundAlto:False | GapVWAP:+0.0726% | K15m:66.8 | D15m:65.9 | Cuerpo1H:0.485 | VelaAlc:True | OBV:-43.8651%
[2026-03-29 19:00:17] SCAN SOL/USDT:USDT | HORA:00:00UTC | P:81.4200 | Slope1h:-0.0374% | VolR:0.01x | K:65.9 | D:60.5 | GapEMA7:-0.1123% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.042% | Cruce15m:- | VelasCruce15m:7 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.037% | SLOPE_15M:+0.042% | VOL_R:0.01x | ATR_1H:0.9676% | ATR_15M:0.6698% | Funding:-0.00027 | FundAlto:False | GapVWAP:+0.0328% | K15m:74.6 | D15m:73.4 | Cuerpo1H:1.000 | VelaAlc:True | OBV:-9.0221%
[2026-03-29 19:00:20] SCAN ETH/USDT:USDT | HORA:00:00UTC | P:1984.4400 | Slope1h:-0.0728% | VolR:0.02x | K:66.1 | D:60.3 | GapEMA7:-0.2186% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.000% | Cruce15m:- | VelasCruce15m:7 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.073% | SLOPE_15M:+0.000% | VOL_R:0.02x | ATR_1H:0.8184% | ATR_15M:0.6196% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0042% | K15m:66.8 | D15m:65.9 | Cuerpo1H:0.444 | VelaAlc:True | OBV:-81.7186%
[2026-03-29 19:00:26] SCAN SOL/USDT:USDT | HORA:00:00UTC | P:81.4600 | Slope1h:-0.0252% | VolR:0.03x | K:66.9 | D:60.9 | GapEMA7:-0.0755% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.042% | Cruce15m:- | VelasCruce15m:7 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.025% | SLOPE_15M:+0.042% | VOL_R:0.03x | ATR_1H:0.9716% | ATR_15M:0.6695% | Funding:-0.00027 | FundAlto:False | GapVWAP:+0.0450% | K15m:74.6 | D15m:73.4 | Cuerpo1H:0.923 | VelaAlc:True | OBV:-8.9555%
[2026-03-29 19:00:29] SCAN ETH/USDT:USDT | HORA:00:00UTC | P:1985.3600 | Slope1h:-0.0613% | VolR:0.03x | K:67.4 | D:60.7 | GapEMA7:-0.1839% | SobreEMA7:False | Cruce1h:- | Slope15m:-0.009% | Cruce15m:- | VelasCruce15m:7 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.061% | SLOPE_15M:-0.009% | VOL_R:0.03x | ATR_1H:0.8180% | ATR_15M:0.6194% | Funding:-0.00003 | FundAlto:False | GapVWAP:+0.0267% | K15m:66.0 | D15m:65.6 | Cuerpo1H:0.857 | VelaAlc:True | OBV:-81.2068%
[2026-03-29 19:00:36] SCAN SOL/USDT:USDT | HORA:00:00UTC | P:81.4500 | Slope1h:-0.0282% | VolR:0.03x | K:66.7 | D:60.8 | GapEMA7:-0.0847% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.052% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.028% | VOL_R:0.03x | P<EMA7 | GAP_EMA7 | ATR_1H:0.9717% | ATR_15M:0.6573% | Funding:-0.00027 | FundAlto:False | GapVWAP:+0.0368% | K15m:76.3 | D15m:74.8 | Cuerpo1H:0.846 | VelaAlc:True | OBV:-8.9364%
[2026-03-29 19:00:38] SCAN ETH/USDT:USDT | HORA:00:00UTC | P:1984.7900 | Slope1h:-0.0684% | VolR:0.04x | K:66.6 | D:60.5 | GapEMA7:-0.2054% | SobreEMA7:False | Cruce1h:- | Slope15m:-0.009% | Cruce15m:- | VelasCruce15m:7 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.068% | SLOPE_15M:-0.009% | VOL_R:0.04x | ATR_1H:0.8182% | ATR_15M:0.6195% | Funding:-0.00003 | FundAlto:False | GapVWAP:+0.0076% | K15m:66.0 | D15m:65.6 | Cuerpo1H:0.601 | VelaAlc:True | OBV:-80.9974%
[2026-03-29 19:00:45] SCAN SOL/USDT:USDT | HORA:00:00UTC | P:81.4100 | Slope1h:-0.0405% | VolR:0.04x | K:65.7 | D:60.4 | GapEMA7:-0.1215% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.052% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.040% | VOL_R:0.04x | P<EMA7 | GAP_EMA7 | ATR_1H:0.9722% | ATR_15M:0.6576% | Funding:-0.00027 | FundAlto:False | GapVWAP:+0.0041% | K15m:76.3 | D15m:74.8 | Cuerpo1H:0.538 | VelaAlc:True | OBV:-8.9240%
[2026-03-29 19:00:47] SCAN ETH/USDT:USDT | HORA:00:00UTC | P:1984.2800 | Slope1h:-0.0748% | VolR:0.05x | K:65.9 | D:60.2 | GapEMA7:-0.2247% | SobreEMA7:False | Cruce1h:- | Slope15m:-0.004% | Cruce15m:- | VelasCruce15m:7 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.075% | SLOPE_15M:-0.004% | VOL_R:0.05x | ATR_1H:0.8184% | ATR_15M:0.6197% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0096% | K15m:66.5 | D15m:65.8 | Cuerpo1H:0.372 | VelaAlc:True | OBV:-80.6886%
[2026-03-29 19:00:54] SCAN SOL/USDT:USDT | HORA:00:00UTC | P:81.4200 | Slope1h:-0.0374% | VolR:0.04x | K:65.9 | D:60.5 | GapEMA7:-0.1123% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.068% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.037% | VOL_R:0.04x | P<EMA7 | GAP_EMA7 | ATR_1H:0.9720% | ATR_15M:0.6637% | Funding:-0.00027 | FundAlto:False | GapVWAP:+0.0123% | K15m:77.5 | D15m:75.2 | Cuerpo1H:0.615 | VelaAlc:True | OBV:-8.9237%
